#=====================================================
# File created:        Fri-14-Feb-2025-at-06-24-25PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        32.629920
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2566.2733  0.2711
   00001    0.6864   -3794.8075  0.2564
   00002    0.6172   -4468.3552  0.2618
   00003    0.5900   -5037.2932  0.2700
   00004    0.5632   -5493.3445  0.2750
   00005    0.5472   -5847.5131  0.2772
   00006    0.5080   -6137.3138  0.2771
   00007    0.5056   -6372.8141  0.2747
   00008    0.4908   -6565.6727  0.2751
   00009    0.4720   -6665.5765  0.2834
   00010    0.4832   -6789.3704  0.2920
   00011    0.4780   -6923.2942  0.2914
   00012    0.4720   -6998.4358  0.2955
   00013    0.4512   -7094.0875  0.3018
   00014    0.4656   -7224.7588  0.3053
   00015    0.4656   -7271.5558  0.3078
   00016    0.4592   -7357.1196  0.3137
   00017    0.4480   -7423.9481  0.3124
   00018    0.4640   -7519.6272  0.3125
   00019    0.4508   -7561.4098  0.3095
   00020    0.4372   -7633.1979  0.3078
   00021    0.4484   -7676.0905  0.3109
   00022    0.4444   -7693.7170  0.3044
   00023    0.4432   -7728.2796  0.3084
   00024    0.4440   -7797.5234  0.3122
   00025    0.4484   -7832.5980  0.3194
   00026    0.4156   -7825.3034  0.3213
   00027    0.4304   -7880.4514  0.3253
   00028    0.4492   -7895.6113  0.3229
   00029    0.4264   -7910.9426  0.3199
   00030    0.4164   -7938.3294  0.3266
   00031    0.4264   -7952.5187  0.3268
   00032    0.4288   -7935.5214  0.3242
   00033    0.4320   -7921.4954  0.3230
   00034    0.4308   -7906.1338  0.3283
   00035    0.4432   -7906.6833  0.3265
   00036    0.4432   -7951.3901  0.3283
   00037    0.4372   -7913.3752  0.3266
   00038    0.4416   -7956.2614  0.3367
   00039    0.4712   -7975.2756  0.3420
   00040    0.4336   -7985.1850  0.3432
   00041    0.4432   -7963.4460  0.3370
   00042    0.4480   -7990.8861  0.3391
   00043    0.4296   -7999.1864  0.3338
   00044    0.4248   -7991.9130  0.3286
   00045    0.4400   -7991.1475  0.3277
   00046    0.4368   -7956.1655  0.3255
   00047    0.4340   -8004.1528  0.3272
   00048    0.4276   -7981.4322  0.3326
   00049    0.4416   -7993.8399  0.3253
   00050    0.4216   -8003.3789  0.3249
   00051    0.4164   -8027.1132  0.3236
   00052    0.4216   -8018.2804  0.3308
   00053    0.4408   -8063.3816  0.3307
   00054    0.4168   -8128.4014  0.3329
   00055    0.4084   -8123.7314  0.3350
   00056    0.4308   -8110.7358  0.3338
   00057    0.4120   -8093.2937  0.3363
   00058    0.4140   -8119.5426  0.3318
   00059    0.4168   -8150.4872  0.3312
   00060    0.4480   -8176.1947  0.3215
   00061    0.4228   -8166.2122  0.3191
   00062    0.4116   -8175.2345  0.3232
   00063    0.4212   -8172.4573  0.3259
   00064    0.4220   -8243.0550  0.3298
   00065    0.4056   -8216.7272  0.3344
   00066    0.4280   -8217.8674  0.3327
   00067    0.4308   -8209.7320  0.3332
   00068    0.4208   -8209.8472  0.3260
   00069    0.4420   -8159.6062  0.3231
   00070    0.4160   -8162.3789  0.3230
   00071    0.4396   -8190.4948  0.3198
   00072    0.4060   -8237.8115  0.3279
   00073    0.4316   -8239.3667  0.3300
   00074    0.4140   -8269.0810  0.3287
   00075    0.4044   -8249.6588  0.3364
   00076    0.4180   -8234.5866  0.3375
   00077    0.4140   -8217.0456  0.3337
   00078    0.4404   -8256.7496  0.3354
   00079    0.4144   -8211.2657  0.3321
   00080    0.4152   -8213.5192  0.3270
   00081    0.4280   -8279.3466  0.3280
   00082    0.4216   -8208.1073  0.3236
   00083    0.4072   -8180.4728  0.3261
   00084    0.4264   -8195.7497  0.3254
   00085    0.4264   -8199.9198  0.3264
   00086    0.4232   -8156.6287  0.3241
   00087    0.4232   -8181.8887  0.3226
   00088    0.4284   -8167.5425  0.3182
   00089    0.4432   -8147.4692  0.3201
   00090    0.4192   -8181.5553  0.3257
   00091    0.4188   -8227.0192  0.3259
   00092    0.4156   -8199.1169  0.3251
   00093    0.4140   -8202.5686  0.3273
   00094    0.4272   -8255.0825  0.3301
   00095    0.4352   -8274.4833  0.3287
   00096    0.4084   -8276.4818  0.3232
   00097    0.4096   -8270.3487  0.3260
   00098    0.4296   -8250.1688  0.3201
   00099    0.4160   -8275.4495  0.3217
   00100    0.4112   -8281.4687  0.3153
   00101    0.4096   -8280.9387  0.3155
   00102    0.4140   -8243.2353  0.3112
   00103    0.4032   -8306.8147  0.3042
   00104    0.4244   -8299.7777  0.3038
   00105    0.4132   -8325.0544  0.3026
   00106    0.4236   -8332.5026  0.3060
   00107    0.4132   -8287.4617  0.3176
   00108    0.4136   -8275.1314  0.3183
   00109    0.4320   -8252.1536  0.3198
   00110    0.4008   -8255.2045  0.3196
   00111    0.4316   -8214.7686  0.3233
   00112    0.4304   -8234.2966  0.3203
   00113    0.4324   -8221.9757  0.3235
   00114    0.4284   -8228.8214  0.3272
   00115    0.4264   -8219.7756  0.3274
   00116    0.4304   -8217.4062  0.3287
   00117    0.4028   -8265.4257  0.3273
   00118    0.4212   -8290.4501  0.3271
   00119    0.4056   -8313.8367  0.3314
   00120    0.4228   -8307.4891  0.3357
   00121    0.4316   -8326.9682  0.3426
   00122    0.4252   -8293.2195  0.3390
   00123    0.4188   -8256.8980  0.3437
   00124    0.4220   -8341.3865  0.3453
   00125    0.4144   -8351.6135  0.3492
   00126    0.4220   -8390.4719  0.3479
   00127    0.3992   -8380.4222  0.3545
   00128    0.4348   -8359.3264  0.3642
   00129    0.4196   -8334.4045  0.3675
   00130    0.4088   -8316.0210  0.3714
   00131    0.4260   -8358.0416  0.3666
   00132    0.4232   -8337.0254  0.3638
   00133    0.4088   -8332.2754  0.3642
   00134    0.4156   -8307.8752  0.3651
   00135    0.4100   -8353.6902  0.3722
   00136    0.4208   -8309.8203  0.3767
   00137    0.4268   -8352.6160  0.3821
   00138    0.4268   -8371.8324  0.3807
   00139    0.4124   -8368.6608  0.3817
   00140    0.4228   -8358.0034  0.3781
   00141    0.4208   -8356.1778  0.3803
   00142    0.4192   -8338.1869  0.3835
   00143    0.4232   -8315.6397  0.3818
   00144    0.4184   -8314.8565  0.3839
   00145    0.4292   -8316.6417  0.3899
   00146    0.4312   -8295.6459  0.3916
   00147    0.4244   -8292.8229  0.3895
   00148    0.4248   -8318.3042  0.3879
   00149    0.4044   -8319.0489  0.3950
   00150    0.4152   -8314.3052  0.3892
   00151    0.4084   -8349.6966  0.3941
   00152    0.4104   -8368.1216  0.3925
   00153    0.4248   -8350.7445  0.3922
   00154    0.4296   -8358.6357  0.3959
   00155    0.4176   -8408.4435  0.4012
   00156    0.4040   -8409.0765  0.4007
   00157    0.4212   -8366.3022  0.3950
   00158    0.4088   -8362.3997  0.3941
   00159    0.4272   -8326.1056  0.3913
   00160    0.4096   -8341.2358  0.3944
   00161    0.4320   -8327.8334  0.3879
   00162    0.4132   -8367.2117  0.3936
   00163    0.4104   -8384.3716  0.3840
   00164    0.4244   -8403.0944  0.3915
   00165    0.4372   -8345.4298  0.3914
   00166    0.4232   -8325.3368  0.3972
   00167    0.4156   -8319.2143  0.3912
   00168    0.4232   -8354.0991  0.3901
   00169    0.4168   -8341.7370  0.3909
   00170    0.4264   -8291.8378  0.3794
   00171    0.4196   -8290.4857  0.3809
   00172    0.4228   -8312.0587  0.3877
   00173    0.4272   -8328.9133  0.3822
   00174    0.4040   -8323.2139  0.3800
   00175    0.4048   -8345.4953  0.3777
   00176    0.4088   -8379.7590  0.3717
   00177    0.4160   -8413.5966  0.3685
   00178    0.4096   -8370.5219  0.3702
   00179    0.4308   -8333.5357  0.3726
   00180    0.4120   -8343.2334  0.3707
   00181    0.4108   -8329.0085  0.3683
   00182    0.4132   -8319.0237  0.3637
   00183    0.4244   -8335.0093  0.3697
   00184    0.4312   -8288.3603  0.3763
   00185    0.4144   -8313.2404  0.3795
   00186    0.4176   -8329.0133  0.3766
   00187    0.4144   -8310.6460  0.3816
   00188    0.4204   -8301.8377  0.3812
   00189    0.4268   -8323.3410  0.3806
   00190    0.4344   -8342.6693  0.3726
   00191    0.4244   -8394.0686  0.3813
   00192    0.4060   -8417.0956  0.3820
   00193    0.4332   -8395.9571  0.3885
   00194    0.4168   -8406.8291  0.3867
   00195    0.4224   -8372.6492  0.3945
   00196    0.4084   -8367.2287  0.3962
   00197    0.4120   -8353.1352  0.3918
   00198    0.4212   -8375.2204  0.3952
   00199    0.4152   -8405.6719  0.4007
   00200    0.4148   -8411.8627  0.4057
   00201    0.4184   -8383.5255  0.4021
   00202    0.4016   -8387.1880  0.4012
   00203    0.4264   -8374.2557  0.3970
   00204    0.4304   -8398.2097  0.4016
   00205    0.3992   -8389.1697  0.4050
   00206    0.4120   -8403.8058  0.4079
   00207    0.4084   -8414.1112  0.3998
   00208    0.4228   -8404.1797  0.4059
   00209    0.4128   -8344.9722  0.4095
   00210    0.4160   -8332.2150  0.4028
   00211    0.4228   -8379.0080  0.4098
   00212    0.4180   -8373.6511  0.4087
   00213    0.4196   -8367.2051  0.4109
   00214    0.4312   -8364.9772  0.4131
   00215    0.4176   -8377.1628  0.4091
   00216    0.4156   -8351.2018  0.4053
   00217    0.4184   -8377.4193  0.4057
   00218    0.4260   -8421.8914  0.4091
   00219    0.4140   -8403.7114  0.4087
   00220    0.4136   -8378.0692  0.4094
   00221    0.4060   -8402.2669  0.4090
   00222    0.4276   -8404.1227  0.4053
   00223    0.4136   -8390.6731  0.4146
   00224    0.4328   -8384.7732  0.4094
   00225    0.4076   -8386.8715  0.4101
   00226    0.4204   -8423.5107  0.4072
   00227    0.4112   -8426.4292  0.4044
   00228    0.4092   -8474.9929  0.4080
   00229    0.3992   -8460.1212  0.4081
   00230    0.4120   -8470.9905  0.4065
   00231    0.4080   -8405.2065  0.4112
   00232    0.4248   -8396.3880  0.4049
   00233    0.4196   -8370.6840  0.4074
   00234    0.4200   -8348.5826  0.4058
   00235    0.4056   -8388.9386  0.4064
   00236    0.4044   -8423.2659  0.4064
   00237    0.4172   -8399.3805  0.4119
   00238    0.4088   -8428.9962  0.4119
   00239    0.4088   -8423.4135  0.4182
   00240    0.4204   -8420.6066  0.4192
   00241    0.3992   -8429.2737  0.4155
   00242    0.4172   -8382.4228  0.4122
   00243    0.3980   -8399.6805  0.4143
